symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
AVBP,"ArriVent BioPharma, Inc. Common Stock",620,2024-01-26,2026-07-17,55.53941823762221,8523571.83008194,1545821860.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
AVNW,"Aviat Networks, Inc. Common Stock",2514,2016-07-18,2026-07-17,59.51515151890517,2392787.9754066467,268946738.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AVR,Anteris Technologies Global Corp. Common Stock,397,2024-12-13,2026-07-17,76.01887029538942,2534563.9698028564,822541615.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
AVTX,"Avalo Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,91.7761693074263,7232958.589935303,1018195130.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
AVXL,Anavex Life Sciences Corp. Common Stock,2514,2016-07-18,2026-07-17,87.72933669857743,6379060.219717026,221485502.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
BAER,"Bridger Aerospace Group Holdings, Inc. Common Stock",1340,2021-03-17,2026-07-17,73.24062737540953,765054.5063018799,111817024.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
BAND,Bandwidth Inc. Class A Common Stock,2181,2017-11-09,2026-07-17,85.05895477368803,4545879.029273987,2299162816.0,中波动,中流动性,中盘（2B–10B）,历史≥1年,中流动性－中波动
BBOT,"BridgeBio Oncology Therapeutics, Inc. Common Stock  ",610,2024-02-09,2026-07-17,68.60945421976007,2152563.013601303,685716810.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
BCAX,Bicara Therapeutics Inc. Common Stock,461,2024-09-13,2026-07-17,60.40505968623249,8289750.931072235,1823939320.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
BDTX,"Black Diamond Therapeutics, Inc. Common Stock",1623,2020-01-31,2026-07-17,85.32754115473642,2452260.0106716156,102570175.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
BEEM,Beam Global Common Stock,2514,2016-07-18,2026-07-17,86.70874410739361,553369.9830174446,21771092.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
BELFA,Bel Fuse Inc. Class A Common Stock,2514,2016-07-18,2026-07-17,58.74033313955489,6360360.970306397,2910064772.0,中波动,中流动性,中盘（2B–10B）,历史≥1年,中流动性－中波动
BIOA,"BioAge Labs, Inc. Common Stock",452,2024-09-26,2026-07-17,84.20913612994228,5396051.856398582,1013966863.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
BMEA,"Biomea Fusion, Inc. Common Stock",1319,2021-04-16,2026-07-17,89.24906884910372,1440014.458167553,92543283.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
BNTC,Benitec Biopharma Inc. Common Stock,2514,2016-07-18,2026-07-17,57.40955616615347,1112050.0037670135,439048389.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
BOOM,DMC Global Inc. Common Stock,2514,2016-07-18,2026-07-17,77.07565414323864,1362225.492978096,128134732.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
