symbol,name,lastsale,netchange,pctchange,marketCap,url,yahoo_symbol
ARAY,Accuray Incorporated Common Stock,$0.2593,-0.006,-2.262%,"30,847,286",/market-activity/stocks/aray,ARAY
ARBB,ARB IOT Group Limited Ordinary Shares,$4.35,-0.045,-1.024%,"7,678,864",/market-activity/stocks/arbb,ARBB
ARBE,Arbe Robotics Ltd. Ordinary Shares,$0.7257,-0.021,-2.812%,"79,237,813",/market-activity/stocks/arbe,ARBE
ARCB,ArcBest Corporation Common Stock,$159.81,2.20,1.396%,"3,557,974,682",/market-activity/stocks/arcb,ARCB
ARCC,Ares Capital Corporation Common Stock,$19.17,-0.04,-0.208%,"13,764,497,939",/market-activity/stocks/arcc,ARCC
ARCL,ARC Group Acquisition I Corp Class A Ordinary Shares,$9.90,UNCH,--,NA,/market-activity/stocks/arcl,ARCL
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,$6.05,-0.13,-2.104%,"171,959,567",/market-activity/stocks/arct,ARCT
ARDX,"Ardelyx, Inc. Common Stock",$5.20,0.075,1.463%,"1,284,552,812",/market-activity/stocks/ardx,ARDX
AREC,American Resources Corporation Class A Common Stock,$1.57,-0.02,-1.258%,"167,944,897",/market-activity/stocks/arec,AREC
ARHS,"Arhaus, Inc. Class A Common Stock",$7.69,-0.15,-1.913%,"1,088,443,092",/market-activity/stocks/arhs,ARHS
ARKO,ARKO Corp. Common Stock,$7.96,0.02,0.252%,"892,998,339",/market-activity/stocks/arko,ARKO
