symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
SOUN,"SoundHound AI, Inc Class A Common Stock",1058,2022-04-28,2026-07-17,78.95696738062092,268797989.4748688,2713465611.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SPRY,"ARS Pharmaceuticals, Inc. Common Stock",1409,2020-12-04,2026-07-17,70.60094125633773,15958596.277284622,695122834.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SPT,"Sprout Social, Inc Class A Common Stock",1655,2019-12-13,2026-07-17,60.23621635683186,11950546.45357132,518109738.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SRPT,"Sarepta Therapeutics, Inc. Common Stock (DE)",2514,2016-07-18,2026-07-17,91.66761106612364,66658891.93067551,1818022543.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
SRRK,Scholar Rock Holding Corporation Common Stock,2046,2018-05-25,2026-07-17,62.23936273968963,55103054.79879379,6334125947.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SSRM,SSR Mining Inc. Common Stock,2514,2016-07-18,2026-07-17,67.84239666800045,75412397.88417816,5536220304.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
STAA,STAAR Surgical Company Common Stock,2514,2016-07-18,2026-07-17,69.88946207922871,21621709.190368652,1316407808.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
STOK,"Stoke Therapeutics, Inc. Common Stock",1779,2019-06-19,2026-07-17,65.31067247018656,20642969.304275513,1809282078.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
STRL,"Sterling Infrastructure, Inc. Common Stock",2514,2016-07-18,2026-07-17,84.97905242408346,190881866.355896,19594822786.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),2514,2016-07-18,2026-07-17,70.02509797417555,1243494479.5928955,176616207839.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
SYM,Symbotic Inc. Class A Common Stock,1346,2021-03-09,2026-07-17,86.73673291547236,99400441.0068512,24861656119.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,2514,2016-07-18,2026-07-17,57.98365312961771,45752689.00756836,4406434786.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
SYRE,"Spyre Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,69.8069772186981,24401870.81546783,8813873090.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
TDUP,ThredUp Inc. Class A Common Stock,1333,2021-03-26,2026-07-17,67.41582607081045,11409961.818885803,851669584.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
