symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
ACTG,data/nasdaq_10y/ACTG.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,37,10000,4091.73,-5908.27,16.22,-1.597,2.055,-2.304,0.892,0.173,-58.25,2.68,6.706,-8.721,1233.35,7141.62
ACTU,data/nasdaq_10y/ACTU.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,9,10000,8159.06,-1840.94,0.0,-2.234,,-2.234,,0.0,-16.74,1.33,-1.958,-3.165,0.0,1840.89
ACTU,data/nasdaq_10y/ACTU.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,9,10000,7989.27,-2010.73,0.0,-2.234,,-2.234,,0.0,-18.48,1.33,-1.958,-3.165,0.0,2010.73
ACXP,data/nasdaq_10y/ACXP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,18,10000,7903.33,-2096.67,16.67,-1.222,5.956,-2.658,2.241,0.389,-28.68,2.17,13.374,-6.769,1335.17,3431.93
ACXP,data/nasdaq_10y/ACXP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,18,10000,7800.37,-2199.63,16.67,-1.222,5.956,-2.658,2.241,0.448,-33.51,2.17,13.374,-6.769,1786.8,3986.43
ADAC,data/nasdaq_10y/ADAC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,0,10000,10000.0,0.0,,,,,,,,,,,,
ADAC,data/nasdaq_10y/ADAC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,0,10000,10000.0,0.0,,,,,,,,,,,,
ADBE,data/nasdaq_10y/ADBE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,54,10000,9686.31,-313.69,42.59,0.013,3.231,-2.375,1.36,0.961,-20.19,4.46,13.45,-12.127,7630.12,7943.71
ADBE,data/nasdaq_10y/ADBE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,固定仓位,54,10000,10067.8,67.8,42.59,0.013,3.231,-2.375,1.36,1.009,-17.65,4.46,13.45,-12.127,7430.28,7362.48
ADEA,data/nasdaq_10y/ADEA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,42,10000,12993.47,2993.47,33.33,0.771,6.343,-2.014,3.149,1.478,-17.19,4.1,22.804,-11.664,9251.37,6258.1
