symbol,mode,signal,entry,exit,days_held,entry_px,exit_px,ret_pct,pnl_eur,reason
NVDA,固定仓位,2024-05-20,2024-05-22,2024-05-31,6,94.786,109.4436,15.364,1536.4,收盘价低于 SMA5
NVDA,固定仓位,2024-10-07,2024-10-09,2024-10-15,4,132.4431,131.3947,-0.892,-89.16,收盘价低于入场价
NVDA,固定仓位,2024-11-29,2024-12-03,2024-12-09,4,140.0412,138.603,-1.127,-112.7,收盘价低于入场价
NVDA,固定仓位,2025-01-21,2025-01-23,2025-01-24,1,147.0005,144.0604,-2.1,-210.0,t3 日内止损
NVDA,固定仓位,2025-04-22,2025-04-24,2025-05-20,18,106.281,134.1919,26.161,2616.14,收盘价低于 SMA5
NVDA,固定仓位,2025-07-23,2025-07-25,2025-08-01,5,173.2692,173.4889,0.027,2.68,收盘价低于 SMA5
NVDA,固定仓位,2025-09-29,2025-10-01,2025-10-06,3,187.0015,185.3036,-1.008,-100.79,收盘价低于入场价
NVDA,固定仓位,2025-10-24,2025-10-28,2025-11-04,5,200.7739,198.4369,-1.264,-126.4,收盘价低于入场价
NVDA,固定仓位,2025-12-04,2025-12-08,2025-12-11,3,185.324,180.7096,-2.59,-258.99,收盘价低于入场价
NVDA,固定仓位,2026-02-09,2026-02-11,2026-02-13,2,189.8185,186.0221,-2.1,-210.0,t4 日内止损
NVDA,固定仓位,2026-04-08,2026-04-10,2026-04-21,7,188.4104,199.6473,5.864,586.41,收盘价低于 SMA5
NVDA,固定仓位,2026-06-11,2026-06-15,2026-06-16,1,212.45,208.201,-2.1,-210.0,t3 日内止损
TESLA,复利,2010-09-27,2010-09-29,2010-09-30,1,1.4653,1.436,-2.1,-210.0,t3 日内止损
TESLA,复利,2010-11-03,2010-11-05,2010-11-17,8,1.6293,1.966,20.563,2013.1,收盘价低于 SMA5
TESLA,复利,2011-03-28,2011-03-30,2011-04-06,5,1.5807,1.766,11.625,1372.11,收盘价低于 SMA5
