策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,CTSH,36.16551303995503,346251337.7895355,2.448511844722101,-23.873491902184707,-6.321273041813913,2514,13,38.46,2.213,-5.33,14.240800000000009
高流动性－低波动,CVBF,25.889309999113628,22007231.835365295,9.658819223764992,12.027485295297735,7.765540543610316,2514,14,14.29,0.581,-13.71,-9.790300000000007
高流动性－低波动,CVCO,46.557539189415934,78180220.51391602,-5.866908029718498,6.318411272909108,2.8392907848372007,2514,21,23.81,1.702,-11.66,24.856200000000015
高流动性－低波动,CWST,35.079586570693024,57723290.78903198,10.025285415919093,18.38199070202893,6.96179012205087,2514,17,23.53,1.288,-9.84,6.389
高流动性－低波动,CZR,49.92573993720441,140514116.79487228,2.190285119906088,8.621319967137243,2.7967908798167906,2514,16,6.25,0.639,-23.15,-13.755300000000004
高流动性－低波动,DASH,46.15058389308156,791419504.044342,6.157034626084479,1.0259478100368868,8.764090905214616,1406,8,37.5,6.403,-2.06,32.135699999999986
高流动性－低波动,DBX,34.72764670951521,88471476.87616348,17.9052816666335,24.017821696665752,11.404603740627572,2090,13,15.38,2.12,-6.35,17.115100000000005
高流动性－低波动,DGII,38.027427551918166,11520264.727973938,-7.442802738716314,14.142853873116623,-4.867931422477357,2514,18,27.78,0.375,-17.85,-20.9588
高流动性－低波动,DJCO,50.97028857628783,31268380.854797363,12.114401466302095,11.786874019850258,11.248950142512172,2514,21,28.57,1.464,-17.02,18.94
高流动性－低波动,DKNG,49.84624214981962,357847254.3896675,-5.494501285057208,10.992440125421554,-3.1482624191603525,1754,10,30.0,1.547,-6.5,7.800400000000018
高流动性－低波动,DLTR,41.027885776331566,366843595.9503174,12.798925857797784,23.506914713889838,14.62763028331251,2514,14,14.29,0.449,-14.27,-12.83780000000001
